"date","load"
2011-01-01,5003
2011-01-02,5060
2011-01-03,5114
2011-01-04,5102
2011-01-05,4990
2011-01-06,4912
2011-01-07,4923
2011-01-08,4949
2011-01-09,4826
2011-01-10,4744
2011-01-11,4772
2011-01-12,4748
2011-01-13,4743
2011-01-14,4797
2011-01-15,4835
2011-01-16,4734
2011-01-17,4675
2011-01-18,4701
2011-01-19,4678
2011-01-20,4721
2011-01-21,4792
2011-01-22,4835
2011-01-23,4744
2011-01-24,4693
2011-01-25,4692
2011-01-26,4630
2011-01-27,4682
2011-01-28,4757
2011-01-29,4813
2011-01-30,4719
2011-01-31,4648
2011-02-01,4606
2011-02-02,4507
2011-02-03,4557
2011-02-04,4650
2011-02-05,4713
2011-02-06,4597
2011-02-07,4509
2011-02-08,4427
2011-02-09,4307
2011-02-10,4330
2011-02-11,4427
2011-02-12,4460
2011-02-13,4358
2011-02-14,4238
2011-02-15,4126
2011-02-16,4026
2011-02-17,4043
2011-02-18,4114
2011-02-19,4138
2011-02-20,4085
2011-02-21,3882
2011-02-22,3770
2011-02-23,3765
2011-02-24,3828
2011-02-25,3858
2011-02-26,3902
2011-02-27,3861
2011-02-28,3631
