"date","load"
2011-01-01,5379
2011-01-02,5157
2011-01-03,5006
2011-01-04,5055
2011-01-05,4995
2011-01-06,4884
2011-01-07,4781
2011-01-08,4774
2011-01-09,4628
2011-01-10,4524
2011-01-11,4635
2011-01-12,4638
2011-01-13,4642
2011-01-14,4626
2011-01-15,4684
2011-01-16,4586
2011-01-17,4507
2011-01-18,4585
2011-01-19,4580
2011-01-20,4633
2011-01-21,4652
2011-01-22,4709
2011-01-23,4630
2011-01-24,4551
2011-01-25,4540
2011-01-26,4508
2011-01-27,4595
2011-01-28,4619
2011-01-29,4670
2011-01-30,4600
2011-01-31,4511
2011-02-01,4426
2011-02-02,4374
2011-02-03,4478
2011-02-04,4503
2011-02-05,4523
2011-02-06,4471
2011-02-07,4379
2011-02-08,4246
2011-02-09,4173
2011-02-10,4293
2011-02-11,4300
2011-02-12,4323
2011-02-13,4298
2011-02-14,4200
2011-02-15,4046
2011-02-16,3969
2011-02-17,4096
2011-02-18,4107
2011-02-19,4125
2011-02-20,4131
2011-02-21,3984
2011-02-22,3835
2011-02-23,3770
2011-02-24,3874
2011-02-25,3868
2011-02-26,3894
2011-02-27,3937
2011-02-28,3778
