"date","load"
2011-01-01,4640
2011-01-02,4451
2011-01-03,4120
2011-01-04,3843
2011-01-05,3727
2011-01-06,3720
2011-01-07,3873
2011-01-08,4099
2011-01-09,4178
2011-01-10,4041
2011-01-11,3888
2011-01-12,3826
2011-01-13,3865
2011-01-14,3995
2011-01-15,4167
2011-01-16,4195
2011-01-17,4053
2011-01-18,3870
2011-01-19,3822
2011-01-20,3897
2011-01-21,4018
2011-01-22,4078
2011-01-23,4023
2011-01-24,3892
2011-01-25,3764
2011-01-26,3751
2011-01-27,3852
2011-01-28,3985
2011-01-29,4071
2011-01-30,4048
2011-01-31,3838
2011-02-01,3672
2011-02-02,3621
2011-02-03,3660
2011-02-04,3831
2011-02-05,4016
2011-02-06,4024
2011-02-07,3862
2011-02-08,3702
2011-02-09,3612
2011-02-10,3624
2011-02-11,3674
2011-02-12,3851
2011-02-13,3950
2011-02-14,3808
2011-02-15,3657
2011-02-16,3590
2011-02-17,3559
2011-02-18,3604
2011-02-19,3764
2011-02-20,3855
2011-02-21,3754
2011-02-22,3580
2011-02-23,3465
2011-02-24,3395
2011-02-25,3350
2011-02-26,3381
2011-02-27,3481
2011-02-28,3501
