"date","load"
2011-01-01,4784
2011-01-02,4614
2011-01-03,4322
2011-01-04,4252
2011-01-05,4319
2011-01-06,4452
2011-01-07,4805
2011-01-08,5518
2011-01-09,6277
2011-01-10,6683
2011-01-11,6865
2011-01-12,6859
2011-01-13,6690
2011-01-14,6742
2011-01-15,6883
2011-01-16,6733
2011-01-17,6552
2011-01-18,6609
2011-01-19,6635
2011-01-20,6479
2011-01-21,6537
2011-01-22,6688
2011-01-23,6519
2011-01-24,6299
2011-01-25,6367
2011-01-26,6427
2011-01-27,6269
2011-01-28,6319
2011-01-29,6473
2011-01-30,6277
2011-01-31,5999
2011-02-01,6055
2011-02-02,6158
2011-02-03,6021
2011-02-04,6072
2011-02-05,6229
2011-02-06,5998
2011-02-07,5639
2011-02-08,5617
2011-02-09,5708
2011-02-10,5608
2011-02-11,5680
2011-02-12,5869
2011-02-13,5629
2011-02-14,5193
2011-02-15,5020
2011-02-16,4925
2011-02-17,4717
2011-02-18,4628
2011-02-19,4591
2011-02-20,4294
2011-02-21,3946
2011-02-22,3643
2011-02-23,3384
2011-02-24,3148
2011-02-25,2859
2011-02-26,2775
2011-02-27,2799
2011-02-28,2682
