"date","load"
2011-01-01,4759
2011-01-02,4806
2011-01-03,4952
2011-01-04,5418
2011-01-05,6162
2011-01-06,6605
2011-01-07,6703
2011-01-08,6739
2011-01-09,6806
2011-01-10,6874
2011-01-11,6887
2011-01-12,6855
2011-01-13,6823
2011-01-14,6808
2011-01-15,6815
2011-01-16,6846
2011-01-17,6876
2011-01-18,6867
2011-01-19,6821
2011-01-20,6775
2011-01-21,6742
2011-01-22,6722
2011-01-23,6726
2011-01-24,6738
2011-01-25,6719
2011-01-26,6660
2011-01-27,6590
2011-01-28,6522
2011-01-29,6458
2011-01-30,6421
2011-01-31,6420
2011-02-01,6414
2011-02-02,6366
2011-02-03,6287
2011-02-04,6185
2011-02-05,6052
2011-02-06,5915
2011-02-07,5832
2011-02-08,5831
2011-02-09,5860
2011-02-10,5853
2011-02-11,5757
2011-02-12,5531
2011-02-13,5182
2011-02-14,4809
2011-02-15,4532
2011-02-16,4400
2011-02-17,4368
2011-02-18,4302
2011-02-19,4072
2011-02-20,3711
2011-02-21,3313
2011-02-22,2859
2011-02-23,2514
2011-02-24,2372
2011-02-25,2394
2011-02-26,2482
2011-02-27,2530
2011-02-28,2484
