"date","load"
2011-01-01,5802
2011-01-02,5752
2011-01-03,5665
2011-01-04,4821
2011-01-05,4234
2011-01-06,4260
2011-01-07,3790
2011-01-08,4559
2011-01-09,5140
2011-01-10,4954
2011-01-11,4523
2011-01-12,4316
2011-01-13,4692
2011-01-14,4989
2011-01-15,5543
2011-01-16,5920
2011-01-17,6202
2011-01-18,5769
2011-01-19,5598
2011-01-20,5716
2011-01-21,5744
2011-01-22,5973
2011-01-23,5544
2011-01-24,5477
2011-01-25,5412
2011-01-26,5403
2011-01-27,5441
2011-01-28,4670
2011-01-29,5209
2011-01-30,5966
2011-01-31,6315
2011-02-01,5630
2011-02-02,4914
2011-02-03,4707
2011-02-04,4953
2011-02-05,5578
2011-02-06,5328
2011-02-07,5468
2011-02-08,4936
2011-02-09,4724
2011-02-10,5000
2011-02-11,4385
2011-02-12,4802
2011-02-13,5191
2011-02-14,5320
2011-02-15,4841
2011-02-16,4735
2011-02-17,4951
2011-02-18,5023
2011-02-19,5024
2011-02-20,5087
2011-02-21,4856
2011-02-22,4468
2011-02-23,4671
2011-02-24,4752
2011-02-25,4586
2011-02-26,5266
2011-02-27,5118
2011-02-28,4836
