"date","load"
2011-01-01,5068
2011-01-02,5253
2011-01-03,5390
2011-01-04,5547
2011-01-05,5481
2011-01-06,5286
2011-01-07,5198
2011-01-08,5266
2011-01-09,5413
2011-01-10,5555
2011-01-11,5598
2011-01-12,5537
2011-01-13,5454
2011-01-14,5378
2011-01-15,5402
2011-01-16,5515
2011-01-17,5621
2011-01-18,5637
2011-01-19,5558
2011-01-20,5454
2011-01-21,5360
2011-01-22,5377
2011-01-23,5482
2011-01-24,5565
2011-01-25,5554
2011-01-26,5464
2011-01-27,5351
2011-01-28,5252
2011-01-29,5263
2011-01-30,5355
2011-01-31,5409
2011-02-01,5376
2011-02-02,5291
2011-02-03,5177
2011-02-04,5076
2011-02-05,5074
2011-02-06,5160
2011-02-07,5208
2011-02-08,5160
2011-02-09,5069
2011-02-10,4944
2011-02-11,4844
2011-02-12,4845
2011-02-13,4915
2011-02-14,4936
2011-02-15,4861
2011-02-16,4753
2011-02-17,4625
2011-02-18,4543
2011-02-19,4533
2011-02-20,4539
2011-02-21,4501
2011-02-22,4400
2011-02-23,4288
2011-02-24,4183
2011-02-25,4133
2011-02-26,4113
2011-02-27,4071
2011-02-28,3920
