"date","load"
2011-01-01,5177
2011-01-02,4977
2011-01-03,4856
2011-01-04,4823
2011-01-05,4802
2011-01-06,4769
2011-01-07,4705
2011-01-08,4615
2011-01-09,4534
2011-01-10,4495
2011-01-11,4526
2011-01-12,4571
2011-01-13,4607
2011-01-14,4602
2011-01-15,4560
2011-01-16,4511
2011-01-17,4488
2011-01-18,4509
2011-01-19,4541
2011-01-20,4580
2011-01-21,4608
2011-01-22,4590
2011-01-23,4557
2011-01-24,4531
2011-01-25,4514
2011-01-26,4514
2011-01-27,4545
2011-01-28,4585
2011-01-29,4586
2011-01-30,4561
2011-01-31,4512
2011-02-01,4450
2011-02-02,4418
2011-02-03,4441
2011-02-04,4489
2011-02-05,4495
2011-02-06,4469
2011-02-07,4395
2011-02-08,4289
2011-02-09,4230
2011-02-10,4254
2011-02-11,4313
2011-02-12,4331
2011-02-13,4300
2011-02-14,4199
2011-02-15,4064
2011-02-16,3986
2011-02-17,4011
2011-02-18,4074
2011-02-19,4114
2011-02-20,4084
2011-02-21,3965
2011-02-22,3824
2011-02-23,3741
2011-02-24,3750
2011-02-25,3798
2011-02-26,3851
2011-02-27,3836
2011-02-28,3717
