"date","load"
2011-01-01,5340
2011-01-02,5309
2011-01-03,4890
2011-01-04,4887
2011-01-05,4942
2011-01-06,4932
2011-01-07,4899
2011-01-08,4929
2011-01-09,4849
2011-01-10,4700
2011-01-11,4757
2011-01-12,4967
2011-01-13,5049
2011-01-14,5070
2011-01-15,5199
2011-01-16,5362
2011-01-17,5429
2011-01-18,5413
2011-01-19,5431
2011-01-20,5502
2011-01-21,5410
2011-01-22,5533
2011-01-23,5660
2011-01-24,5651
2011-01-25,5590
2011-01-26,5562
2011-01-27,5501
2011-01-28,5380
2011-01-29,5380
2011-01-30,5124
2011-01-31,4851
2011-02-01,4876
2011-02-02,5003
2011-02-03,5147
2011-02-04,5035
2011-02-05,4979
2011-02-06,5073
2011-02-07,4967
2011-02-08,4931
2011-02-09,4940
2011-02-10,4962
2011-02-11,4839
2011-02-12,4813
2011-02-13,4754
2011-02-14,4709
2011-02-15,4738
2011-02-16,4767
2011-02-17,4771
2011-02-18,4653
2011-02-19,4693
2011-02-20,4811
2011-02-21,4746
2011-02-22,4595
2011-02-23,4373
2011-02-24,4476
2011-02-25,4451
2011-02-26,4458
2011-02-27,4528
2011-02-28,4404
