"date","load"
2011-01-01,4712
2011-01-02,4599
2011-01-03,4367
2011-01-04,4236
2011-01-05,4252
2011-01-06,4335
2011-01-07,4365
2011-01-08,4288
2011-01-09,4144
2011-01-10,3992
2011-01-11,3929
2011-01-12,4013
2011-01-13,4160
2011-01-14,4239
2011-01-15,4196
2011-01-16,4073
2011-01-17,3934
2011-01-18,3878
2011-01-19,3967
2011-01-20,4117
2011-01-21,4197
2011-01-22,4153
2011-01-23,4025
2011-01-24,3879
2011-01-25,3814
2011-01-26,3891
2011-01-27,4031
2011-01-28,4107
2011-01-29,4060
2011-01-30,3927
2011-01-31,3770
2011-02-01,3682
2011-02-02,3734
2011-02-03,3856
2011-02-04,3931
2011-02-05,3892
2011-02-06,3761
2011-02-07,3589
2011-02-08,3465
2011-02-09,3464
2011-02-10,3527
2011-02-11,3573
2011-02-12,3542
2011-02-13,3428
2011-02-14,3238
2011-02-15,3068
2011-02-16,2983
2011-02-17,2920
2011-02-18,2863
2011-02-19,2832
2011-02-20,2806
2011-02-21,2744
2011-02-22,2698
2011-02-23,2683
2011-02-24,2660
2011-02-25,2652
2011-02-26,2664
2011-02-27,2666
2011-02-28,2621
